PF01025.14	GrpE
PF03726.9	PNPase
PF02576.12	DUF150
PF00466.15	Ribosomal_L10
PF00380.14	Ribosomal_S9
PF00410.14	Ribosomal_S8
TIGR03594	TIGR03594
TIGR00436	TIGR00436
TIGR00392	TIGR00392
TIGR00396	TIGR00396
TIGR00398	TIGR00398
TIGR01082	TIGR01082
TIGR00810	TIGR00810
TIGR00086	TIGR00086
TIGR01391	TIGR01391
TIGR02432	TIGR02432
TIGR01302	TIGR01302
TIGR02729	TIGR02729
TIGR00043	TIGR00043
TIGR02350	TIGR02350
TIGR00539	TIGR00539
TIGR01393	TIGR01393
TIGR01394	TIGR01394
TIGR00487	TIGR00487
TIGR00029	TIGR00029
TIGR01128	TIGR01128
TIGR00435	TIGR00435
TIGR00090	TIGR00090
TIGR00092	TIGR00092
TIGR00061	TIGR00061
TIGR00593	TIGR00593
TIGR00459	TIGR00459
TIGR00442	TIGR00442
TIGR00635	TIGR00635
TIGR00084	TIGR00084
TIGR01017	TIGR01017
TIGR00643	TIGR00643
TIGR00631	TIGR00631
TIGR00928	TIGR00928
TIGR00194	TIGR00194
TIGR00362	TIGR00362
TIGR00472	TIGR00472
TIGR00755	TIGR00755
TIGR01087	TIGR01087
TIGR00580	TIGR00580
TIGR00019	TIGR00019
TIGR00020	TIGR00020
TIGR00158	TIGR00158
TIGR00166	TIGR00166
TIGR00138	TIGR00138
TIGR00663	TIGR00663
TIGR01063	TIGR01063
TIGR00963	TIGR00963
TIGR00717	TIGR00717
TIGR03725	TIGR03725
TIGR03723	TIGR03723
TIGR00006	TIGR00006
TIGR00445	TIGR00445
TIGR00065	TIGR00065
TIGR02191	TIGR02191
TIGR00064	TIGR00064
TIGR00959	TIGR00959
TIGR02273	TIGR02273
TIGR00088	TIGR00088
TIGR00456	TIGR00456
TIGR00468	TIGR00468
TIGR00186	TIGR00186
TIGR01032	TIGR01032
TIGR00168	TIGR00168
TIGR00250	TIGR00250
TIGR00344	TIGR00344
TIGR00420	TIGR00420
TIGR00460	TIGR00460
TIGR02012	TIGR02012
TIGR02075	TIGR02075
TIGR00083	TIGR00083
TIGR00431	TIGR00431
TIGR00082	TIGR00082
TIGR01953	TIGR01953
TIGR00054	TIGR00054
TIGR00496	TIGR00496
TIGR00116	TIGR00116
TIGR01011	TIGR01011
TIGR03263	TIGR03263
TIGR01951	TIGR01951
TIGR00095	TIGR00095
TIGR00634	TIGR00634
TIGR00964	TIGR00964
TIGR00922	TIGR00922
TIGR01632	TIGR01632
TIGR01169	TIGR01169
TIGR02013	TIGR02013
TIGR02386	TIGR02386
TIGR01029	TIGR01029
TIGR01066	TIGR01066
TIGR00059	TIGR00059
TIGR02027	TIGR02027
TIGR03632	TIGR03632
TIGR00967	TIGR00967
TIGR01071	TIGR01071
TIGR01021	TIGR01021
TIGR03654	TIGR03654
TIGR01079	TIGR01079
TIGR01164	TIGR01164
TIGR01009	TIGR01009
TIGR01044	TIGR01044
TIGR01171	TIGR01171
TIGR03953	TIGR03953
TIGR03625	TIGR03625
TIGR00414	TIGR00414
TIGR00615	TIGR00615
TIGR01510	TIGR01510
TIGR00337	TIGR00337
