PF00368.13	HMG-CoA_red
PF00410.14	Ribosomal_S8
PF00466.15	Ribosomal_L10
PF00687.16	Ribosomal_L1
PF00827.12	Ribosomal_L15e
PF00900.15	Ribosomal_S4e
PF01000.21	RNA_pol_A_bac
PF01015.13	Ribosomal_S3Ae
PF01090.14	Ribosomal_S19e
PF01092.14	Ribosomal_S6e
PF01157.13	Ribosomal_L21e
PF01191.14	RNA_pol_Rpb5_C
PF01194.12	RNA_pol_N
PF01198.14	Ribosomal_L31e
PF01200.13	Ribosomal_S28e
PF01269.12	Fibrillarin
PF01280.15	Ribosomal_L19e
PF01282.14	Ribosomal_S24e
PF01496.14	V_ATPase_I
PF01655.13	Ribosomal_L32e
PF01798.13	Nop
PF01864.12	DUF46
PF01866.12	Diphthamide_syn
PF01868.11	UPF0086
PF01984.15	dsDNA_bind
PF01990.12	ATP-synt_F
PF02006.11	DUF137
PF02978.14	SRP_SPB
PF03874.11	RNA_pol_Rpb4
PF04019.7	DUF359
PF04104.9	DNA_primase_lrg
PF04919.7	DUF655
PF07541.7	EIF_2_alpha
PF13656.1	RNA_pol_L_2
PF13685.1	Fe-ADH_2
TIGR00021	TIGR00021
TIGR00037	TIGR00037
TIGR00042	TIGR00042
TIGR00064	TIGR00064
TIGR00111	TIGR00111
TIGR00134	TIGR00134
TIGR00240	TIGR00240
TIGR00264	TIGR00264
TIGR00270	TIGR00270
TIGR00279	TIGR00279
TIGR00283	TIGR00283
TIGR00291	TIGR00291
TIGR00293	TIGR00293
TIGR00307	TIGR00307
TIGR00308	TIGR00308
TIGR00323	TIGR00323
TIGR00324	TIGR00324
TIGR00335	TIGR00335
TIGR00336	TIGR00336
TIGR00337	TIGR00337
TIGR00373	TIGR00373
TIGR00389	TIGR00389
TIGR00392	TIGR00392
TIGR00398	TIGR00398
TIGR00405	TIGR00405
TIGR00408	TIGR00408
TIGR00422	TIGR00422
TIGR00425	TIGR00425
TIGR00432	TIGR00432
TIGR00442	TIGR00442
TIGR00448	TIGR00448
TIGR00456	TIGR00456
TIGR00458	TIGR00458
TIGR00463	TIGR00463
TIGR00468	TIGR00468
TIGR00471	TIGR00471
TIGR00490	TIGR00490
TIGR00491	TIGR00491
TIGR00501	TIGR00501
TIGR00521	TIGR00521
TIGR00522	TIGR00522
TIGR00549	TIGR00549
TIGR00658	TIGR00658
TIGR00670	TIGR00670
TIGR00729	TIGR00729
TIGR00936	TIGR00936
TIGR00982	TIGR00982
TIGR01008	TIGR01008
TIGR01012	TIGR01012
TIGR01018	TIGR01018
TIGR01020	TIGR01020
TIGR01025	TIGR01025
TIGR01028	TIGR01028
TIGR01038	TIGR01038
TIGR01046	TIGR01046
TIGR01052	TIGR01052
TIGR01060	TIGR01060
TIGR01077	TIGR01077
TIGR01080	TIGR01080
TIGR01213	TIGR01213
TIGR01309	TIGR01309
TIGR01952	TIGR01952
TIGR02076	TIGR02076
TIGR02153	TIGR02153
TIGR02236	TIGR02236
TIGR02258	TIGR02258
TIGR02338	TIGR02338
TIGR02389	TIGR02389
TIGR02390	TIGR02390
TIGR02651	TIGR02651
TIGR03626	TIGR03626
TIGR03627	TIGR03627
TIGR03628	TIGR03628
TIGR03629	TIGR03629
TIGR03636	TIGR03636
TIGR03653	TIGR03653
TIGR03665	TIGR03665
TIGR03670	TIGR03670
TIGR03671	TIGR03671
TIGR03672	TIGR03672
TIGR03673	TIGR03673
TIGR03674	TIGR03674
TIGR03677	TIGR03677
TIGR03680	TIGR03680
TIGR03683	TIGR03683
TIGR03684	TIGR03684
TIGR03722	TIGR03722
