LABELS
SEPARATOR TAB

DATA
20298_3_42	Alistipes shahii (0.053%)
13470_2_66	Bacteroides uniformis (0.2%)
13470_2_61	Bacteroides_B vulgatus (0.013%)
13414_6_45	Bacteroides (0.007%)
18391_1_2	Clostridium_M clostridioformis (0.003%)
20287_6_7	Escherichia (0.0%)
18048_1_62	Bacteroides stercoris (0.009%)
18048_1_72	Blautia_A obeum (0.078%)
12718_7_92	CAG-81 (0.083%)
18048_2_74	Barnesiella intestinihominis (0.001%)
21673_4_87	Dorea formicigenerans (0.044%)
20298_3_43	Alistipes_A indistinctus (0.035%)
18391_1_1	Blautia_A wexlerae (0.404%)
21673_4_13	Alistipes onderdonkii (0.048%)
13470_2_89	CAG-81 sp1 (0.032%)
13414_6_6	Parabacteroides distasonis (0.033%)
8080_1_75	Clostridium butyricum (0.0%)
13414_6_52	Anaerostipes hadrus (0.043%)
18048_1_65	Coprococcus_B comes (0.054%)
21673_4_59	Clostridium paraputrificum (0.0%)
18048_2_61	Bacteroides uniformis (0.173%)
12718_7_15	Lactobacillus johnsonii (0.0%)
8080_1_66	Clostridium_P perfringens (0.0%)
20298_3_22	Bacteroides caccae (0.007%)
13414_6_64	Blautia_A (0.044%)
21673_4_47	Odoribacter splanchnicus (0.148%)
14207_7_84	Dorea longicatena (0.135%)
20287_6_50	Bacteroides cellulosilyticus (0.235%)
14207_6_13	Bacteroides acidifaciens (0.007%)
14207_7_44	Blautia_A obeum (0.128%)
12718_7_17	Lactobacillus_B murinus (0.0%)
20298_2_22	Pediococcus acidilactici (0.0%)
13470_2_56	Clostridium_M citroniae (0.008%)
21673_4_53	Blautia_A massiliensis (0.386%)
20287_6_14	Bacteroides_B vulgatus (0.006%)
12718_7_57	Lactobacillus gasseri_A (0.0%)
20427_4_23	Agathobacter (0.054%)
12718_7_60	Leuconostoc mesenteroides (0.0%)
21673_4_24	Bacteroides stercoris (0.021%)
13470_2_85	Coprococcus_B comes (0.103%)
20298_2_16	Pediococcus acidilactici (0.0%)
13414_6_43	DTU089 (0.014%)
15841_8_90	Enterococcus faecalis (0.0%)
18048_2_93	Bifidobacterium pseudocatenulatum (0.0%)
21673_4_84	Agathobacter faecis (0.704%)
18048_1_63	Coprococcus eutactus_A (0.154%)
14207_6_8	Bacteroides_B vulgatus (0.011%)
21673_4_50	Bacteroides_B vulgatus (0.005%)
20298_2_9	Klebsiella_A oxytoca (0.0%)
14207_6_14	Clostridium_M clostridioformis (0.003%)
21673_4_40	Dorea longicatena (0.086%)
18391_1_7	Bifidobacterium adolescentis_A (0.001%)
13154_4_42	Enterobacter steigerwaltii (0.0%)
13414_6_76	Ruminococcus_D bicirculans (0.123%)
20298_2_10	Streptococcus mutans (0.0%)
18048_1_57	Collinsella aerofaciens (0.0%)
18048_2_69	CAG-24 sp1 (0.047%)
20287_6_21	Eubacterium_G ventriosum (0.04%)
14670_1_64	Paraclostridium bifermentans (0.0%)
20298_3_81	Blautia_A (0.005%)
20298_2_66	Pediococcus acidilactici (0.0%)
14207_7_82	Anaerostipes hadrus (0.05%)
20298_2_67	Klebsiella_A michiganensis_A (0.0%)
20427_4_27	Bifidobacterium longum (0.008%)
12718_7_66	Streptococcus agalactiae (0.0%)
12718_7_64	Roseburia intestinalis (0.028%)
12718_7_36	Blautia_A (0.005%)
14207_7_75	Peptostreptococcaceae (0.0%)
21673_4_2	Bacteroides_B dorei (0.015%)
20298_3_60	Alistipes timonensis (0.12%)
14207_7_69	Bacteroides caccae (0.044%)
21673_4_11	Bacteroides_B vulgatus (0.003%)
20298_3_14	Lactobacillus_F plantarum (0.0%)
21673_4_92	Bacteroides stercoris (0.021%)
20298_2_45	Escherichia (0.0%)
12718_7_61	Parabacteroides distasonis (0.027%)
20287_6_86	Emergencia timonensis (0.0%)
12718_7_24	Bacillus subtilis_F (0.0%)
21673_4_91	Bacillus paralicheniformis (0.0%)
13470_2_90	Ruminococcus_B (0.022%)
